"";"FreqNdx";"order";"order_Freq";"date";"date_Freq";"customer";"customer_Freq";"item";"item_Freq";"amount";"amount_Freq";"quantity";"quantity_Freq";"price";"price_Freq"
"217";217;"11110029647";8;;;"11ELECOM4334";15;"48910";59;"57.5";41;;;"32.5";568
"218";218;"11110029669";8;;;"11ELECOM4439";15;"48911";62;"58.33";51;;;"32.67";1
"219";219;"11110029674";8;;;"11ELECOM44934";15;"48912";49;"58.34";4;;;"32.915";18
"220";220;"11110029677";8;;;"11ELECOM479";15;"48913";140;"59.17";2;;;"32.91666667";2
"221";221;"11110029714";8;;;"11ELECOM5097";15;"48914";39;"59.5";3;;;"32.92";557
"222";222;"11110029718";8;;;"11ELECOM5174";15;"48915";49;"60";56;;;"33";1
"223";223;"11110029764";8;;;"11ELECOM5383";15;"48916";37;"60.21";7;;;"33.25";459
"224";224;"11110029765";8;;;"11ELECOM5460";15;"48935";37;"60.83";89;;;"33.33";589
"225";225;"11110029786";8;;;"11ELECOM6122";15;"48939";43;"61.67";57;;;"33.33333333";3
"226";226;"11110029825";8;;;"11ELECOM6925";15;"48942";15;"62.33";14;;;"33.3335";1
"227";227;"11110029836";8;;;"11ELECOM7480";15;"48943";19;"62.49";1;;;"33.335";27
"228";228;"11110029853";8;;;"11ELECOM7587";15;"48944";14;"62.5";349;;;"34.17";3
"229";229;"11110029859";8;;;"11ELECOM8318";15;"48945";121;"63.33";11;;;"34.58";81
"230";230;"11110029917";8;;;"11ELECOM1006";14;"48951";92;"64.16";1;;;"34.585";4
"231";231;"11110029925";8;;;"11ELECOM12055";14;"48954";43;"64.17";15;;;"34.71";4
"232";232;"11110029941";8;;;"11ELECOM12433";14;"48967";31;"65";21;;;"35";709
"233";233;"11110029963";8;;;"11ELECOM12696";14;"48973";1;"65.83";18;;;"35.415";3
"234";234;"11110029964";8;;;"11ELECOM12929";14;"48974";66;"65.84";2;;;"35.42";219
"235";235;"11110029985";8;;;"11ELECOM13369";14;"48975";89;"65.99";2;;;"35.83";281
"236";236;"11110029992";8;;;"11ELECOM1369";14;"48976";322;"66";1;;;"35.83333333";1
"237";237;"11110029997";8;;;"11ELECOM14055";14;"48977";19;"66.5";16;;;"35.835";5
"238";238;"11110029998";8;;;"11ELECOM14545";14;"48981";141;"66.67";960;;;"36";1
"239";239;"11110030007";8;;;"11ELECOM14678";14;"48982";285;"67";3;;;"36.67";4
"240";240;"11110030019";8;;;"11ELECOM1524";14;"48983";39;"67.08";100;;;"36.83";13
